기록ID,상담일,고객ID,고객명,유형,내용,결과,다음액션,다음액션일,등록일시
L0001,2026-09-04,C001,대성정밀,방문,"3분기 납품 일정 협의, 다음 주기 물량 10% 증가 요청",진행,증가분 반영 견적,2026-09-11,2026-09-04
L0002,2026-08-07,C001,대성정밀,전화,납기 지연 건 사과 및 재발 방지 안내,성사,,,2026-08-07
L0003,2026-09-10,C002,한빛푸드,이메일,위생 인증서 갱신본 발송,성사,,,2026-09-10
L0004,2026-08-14,C002,한빛푸드,방문,신제품 샘플 전달,진행,샘플 피드백 확인,2026-08-27,2026-08-14
L0005,2026-08-22,C003,청우물류,전화,창고 확장 검토 중이라 하반기 재논의,보류,10월 초 재연락,2026-09-28,2026-08-22
L0006,2026-07-08,C003,청우물류,방문,"정기 방문, 현황 파악",진행,,,2026-07-08
L0007,2026-09-14,C004,미래에듀,카톡,A/S 조건 질문에 답변,진행,최종 제안서 발송,2026-09-17,2026-09-14
L0008,2026-09-02,C004,미래에듀,방문,"경쟁사 비교 중, 가격보다 A/S 중시",진행,A/S 조건 문서화,2026-09-09,2026-09-02
L0009,2026-09-07,C005,서진건설,견적발송,현장 자재 견적서 발송 (1차),대기,견적 회신 확인,2026-09-14,2026-09-07
L0010,2026-08-27,C005,서진건설,방문,현장 소장 소개받음,진행,견적 준비,2026-09-01,2026-08-27
L0011,2026-09-08,C006,오름테크,카톡,"결제 지연 사유 문의, 이달 말 입금 약속",진행,입금 확인,2026-09-23,2026-09-08
L0012,2026-08-12,C006,오름테크,전화,추가 주문 문의,성사,,,2026-08-12
L0013,2026-09-13,C007,늘푸른조경,전화,가을 시즌 물량 문의,진행,견적 발송,2026-09-18,2026-09-13
L0014,2026-08-13,C008,삼호패키징,방문,"단가 인상 안내, 반응 냉담",보류,친환경 소재 샘플 준비,2026-09-06,2026-08-13
L0015,2026-06-28,C008,삼호패키징,전화,정기 발주 확인,성사,,,2026-06-28
L0016,2026-09-01,C009,동해수산,전화,냉장 포장재 품질 개선 논의,진행,개선품 샘플 발송,2026-09-13,2026-09-01
L0017,2026-07-18,C009,동해수산,방문,반기 정기 방문,성사,,,2026-07-18
L0018,2026-09-12,C010,가온인테리어,카톡,소량 샘플 발송 완료,진행,샘플 피드백,2026-09-21,2026-09-12
L0019,2026-08-17,C010,가온인테리어,이메일,첫 인사 및 카탈로그 발송,진행,,,2026-08-17
L0020,2026-08-27,C011,북성유통,방문,"경쟁사 제안 받았다고 함, 총비용 비교 요청",진행,비교표 작성,2026-09-02,2026-08-27
L0021,2026-07-23,C011,북성유통,전화,정기 발주 확인,성사,,,2026-07-23
L0022,2026-09-04,C012,푸른바이오,견적발송,실험 소모품 견적 발송,대기,견적 회신 확인,2026-09-11,2026-09-04
L0023,2026-08-29,C012,푸른바이오,이메일,스펙 문의 답변,진행,,,2026-08-29
L0024,2026-08-29,C013,세광기계,전화,"미수금 안내, 결재 진행 중이라 함",진행,입금 확인,2026-09-12,2026-08-29
L0025,2026-07-28,C013,세광기계,방문,정기 방문,성사,,,2026-07-28
L0026,2026-09-06,C014,은하IT솔루션,카톡,유지보수 계약 갱신 조건 문의,진행,갱신 제안서,2026-09-13,2026-09-06
L0027,2026-08-02,C014,은하IT솔루션,방문,분기 점검,성사,,,2026-08-02
L0028,2026-07-18,C015,태양건자재,전화,"물량 감소, 당분간 주문 없다고 함",보류,근황 방문,2026-08-17,2026-07-18
L0029,2026-09-15,C016,라온교육,이메일,결재용 요약본 발송,진행,결재 결과 확인,2026-09-20,2026-09-15
L0030,2026-09-09,C016,라온교육,방문,"원장님 미팅, 예산 승인 대기",진행,요약본 준비,2026-09-14,2026-09-09
L0031,2026-09-05,C017,동신물산,전화,재고 부담으로 소량 납품 요청,진행,소량 옵션 견적,2026-09-10,2026-09-05
L0032,2026-09-11,C018,해든식품,견적발송,식자재 견적 발송,대기,회신 확인,2026-09-18,2026-09-11
L0033,2026-09-03,C018,해든식품,카톡,카탈로그 요청,진행,,,2026-09-03
L0034,2026-09-09,C019,명진산업,방문,정기 방문,성사,,,2026-09-09
L0035,2026-08-31,C020,새봄플라워,카톡,시즌 예약 주문 안내,진행,예약 확인,2026-09-26,2026-08-31
L0036,2026-09-07,C021,한울자동화,전화,정기 발주 확인,성사,,,2026-09-07
L0037,2026-06-18,C022,옛날상사,전화,가격 문제로 거래 중단 통보,실패,,,2026-06-18
L0038,2026-09-06,C023,스마트팜코리아,방문,전시회 후속 미팅,진행,스타터 패키지 제안,2026-09-19,2026-09-06
L0039,2026-09-02,C024,중앙물류센터,이메일,월 정산서 발송,성사,,,2026-09-02
L0040,2026-09-13,C025,그린에너지텍,방문,"전시회 만남 후 첫 방문, 도입 사례 요청",진행,사례 자료 발송,2026-09-18,2026-09-13
