구매ID,구매일,고객ID,고객명,제품/서비스,특징/사양,금액,재구매주기(일),다음구매예정일,계약만료일/납기일,수금예정일,수금상태,구매당시의향,고민포인트,다음제안,메모
P0001,2026-06-20,C001,대성정밀,산업용 윤활유 20L × 40,"고온용, 분기 납품",4800000,90,2026-09-18,,2026-07-18,완료,상,납기,정기 계약,
P0002,2026-03-22,C001,대성정밀,산업용 윤활유 20L × 36,고온용,4320000,90,2026-06-20,,2026-04-19,완료,상,,,
P0003,2026-06-08,C002,한빛푸드,식품용 포장재 A세트,위생 인증 포함,3200000,,,2026-09-19,2026-07-08,완료,중,인증 서류,인증 패키지,
P0004,2026-04-09,C002,한빛푸드,식품용 포장재 A세트,,3100000,,,,2026-05-09,완료,중,,,
P0005,2026-05-09,C003,청우물류,물류 랙 20세트,중량형,12500000,,,,2026-06-08,완료,중,예산,확장 시 추가,
P0006,2025-11-20,C004,미래에듀,교육용 기자재 초도,테스트 도입,1500000,,,,2025-12-20,완료,중,A/S,본 계약,
P0007,2026-08-12,C006,오름테크,서버 랙 액세서리,,2700000,,,,2026-09-11,미수,중,자금,분할 결제,
P0008,2026-04-29,C006,오름테크,네트워크 케이블 세트,,1900000,,,,2026-05-29,완료,중,,,
P0009,2026-07-28,C007,늘푸른조경,조경 자재 봄 시즌분,,6400000,180,2027-01-24,,2026-08-27,완료,하,계절,비수기 선구매,
P0010,2026-08-13,C008,삼호패키징,포장 필름 500롤,,5500000,60,2026-10-12,,2026-09-12,완료,중,단가,,
P0011,2026-06-13,C008,삼호패키징,포장 필름 480롤,,5280000,60,2026-08-12,,2026-07-13,완료,중,,,
P0012,2026-03-22,C009,동해수산,냉장 포장재 대량분,6개월 주기,18000000,180,2026-09-18,,2026-04-21,완료,상,품질,업그레이드 제안,
P0013,2025-09-21,C009,동해수산,냉장 포장재 대량분,,17500000,180,2026-03-20,,2025-10-21,완료,상,,,
P0014,2026-07-23,C011,북성유통,유통용 파렛트 300장,,4200000,120,2026-11-20,,2026-08-22,완료,중,경쟁사,총비용 비교,
P0015,2026-07-30,C013,세광기계,기계 부품 세트,,8900000,,,,2026-08-29,부분,하,결제 절차,미수금 정리,
P0016,2026-03-20,C014,은하IT솔루션,IT 유지보수 연간 계약,1년,9600000,,,2026-09-22,2026-04-19,완료,중,갱신 조건,2년 계약 할인,
P0017,2026-07-13,C017,동신물산,소모품 정기분,,2300000,75,2026-09-26,,2026-08-12,완료,중,재고,소량 다빈도,
P0018,2026-08-10,C019,명진산업,금속 가공 소모품,,3600000,,,,2026-09-06,완료,중,,,
P0019,2026-05-19,C019,명진산업,금속 가공 소모품,,3400000,,,,2026-06-18,완료,중,,,
P0020,2026-05-29,C020,새봄플라워,화훼 포장재 시즌분,,1800000,,,2026-09-24,2026-06-28,완료,하,,시즌 예약,
P0021,2026-08-22,C021,한울자동화,자동화 부품,,7200000,,,,2026-09-21,미수,중,,,
P0022,2026-04-19,C021,한울자동화,자동화 부품,,6900000,,,,2026-05-19,완료,중,,,
P0023,2026-09-02,C024,중앙물류센터,월 물류 소모품,,2100000,30,2026-10-02,,2026-10-02,미수,중,,,
P0024,2026-08-03,C024,중앙물류센터,월 물류 소모품,,2050000,30,2026-09-02,,2026-09-02,완료,중,,,
P0025,2026-07-04,C024,중앙물류센터,월 물류 소모품,,2000000,30,2026-08-03,,2026-08-03,완료,중,,,
P0026,2026-03-30,C003,청우물류,창고 안전용품,,1400000,,,,2026-04-29,완료,중,,,
P0027,2026-03-25,C011,북성유통,유통용 파렛트 280장,,3900000,120,2026-07-23,,2026-04-24,완료,중,,,
P0028,2026-08-27,C014,은하IT솔루션,보안 장비 추가,,3300000,,,,2026-09-26,미수,중,,,
P0029,2026-08-07,C002,한빛푸드,식품용 포장재 B세트,,2900000,,,,2026-09-06,완료,중,,,
P0030,2026-08-27,C009,동해수산,냉장 포장재 소량 보충,,2400000,,,,2026-09-26,미수,상,,,
P0031,2026-09-11,C017,동신물산,소모품 긴급분,,900000,,,,2026-10-11,미수,중,,,
P0032,2026-02-28,C007,늘푸른조경,조경 자재 겨울 시즌분,,5200000,180,2026-08-27,,2026-03-30,완료,하,,,
P0033,2026-04-14,C008,삼호패키징,포장 필름 450롤,,4950000,60,2026-06-13,,2026-05-14,완료,중,,,
P0034,2026-07-18,C001,대성정밀,필터 교체 세트,,1200000,,,,2026-08-17,완료,상,,,
P0035,2026-05-29,C013,세광기계,기계 부품 세트,,8500000,,,,2026-06-28,완료,하,,,
